file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time,similarity
test_color,502888,2056529,4.089437409522597,17573,0.4
test_color,502888,2403961,4.780310924102385,21217,0.5
test_color,502888,2680840,5.330888786369927,24063,0.6
test_color,502888,2806358,5.580483129444329,25225,0.7
test_color,502888,2874920,5.7168196497033135,26346,0.8
test_color,502888,2812462,5.592621020982803,24680,0.9
test_color,502888,2811228,5.590167194285805,24722,1.0
test_fine_print,30956,659,0.021288280139552914,224,0.0
test_fine_print,30956,659,0.021288280139552914,222,0.1
test_fine_print,30956,659,0.021288280139552914,228,0.2
test_fine_print,30956,659,0.021288280139552914,220,0.3
test_fine_print,30956,659,0.021288280139552914,223,0.4
test_fine_print,30956,659,0.021288280139552914,219,0.5
test_fine_print,30956,659,0.021288280139552914,226,0.6
test_fine_print,30956,659,0.021288280139552914,227,0.7
test_fine_print,30956,659,0.021288280139552914,226,0.8
test_fine_print,30956,659,0.021288280139552914,221,0.9
test_fine_print,30956,659,0.021288280139552914,221,1.0
