file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time
test_small,974331,4533948,4.653396022501593,1411
test_pixel,7649,68090,8.90181723101059,94
test_detail_low,345237,3526027,10.213351987185614,1126
test_tiny,245004,1207041,4.926617524611843,309
test_color,502888,2811228,5.590167194285805,1033
test_fine_print,30956,659,0.021288280139552914,235
test_large,14784572,52259864,3.534756636850901,19635
test_detail_high,785610,3602062,4.585051106783264,1169
test_gradient,142670,36116,0.2531436181397631,85
test_black_white,331351,2748058,8.293495417246364,969
test_medium,3886238,14702810,3.783301485910024,3916
