file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time,similarity
test_medium,3886238,12288808,3.162134691699273,3486,0.5
test_gradient,142670,2266561,15.886738627602158,497,1.0
test_detail_low,345237,3305650,9.575016582811228,1083,0.6
test_gradient,142670,9309,0.06524847550290881,65,0.7
test_small,974331,3298939,3.3858503937573574,1142,0.6
test_small,974331,2914406,2.991186773283412,1071,0.3
test_large,14784572,76804920,5.19493699242697,24936,1.0
test_small,974331,3557009,3.6507193140729384,1238,0.7
test_small,974331,2619624,2.688638665915382,978,0.2
test_detail_low,345237,3534420,10.237662822930336,1118,0.9
test_small,974331,1446174,1.4842738248090228,779,0.1
test_medium,3886238,722,0.0001857837837003292,453,0.0
test_gradient,142670,2493,0.017473890796943996,63,0.3
test_detail_high,785610,3568279,4.542048853756953,1122,0.7
test_black_white,331351,2445649,7.380840860597976,941,0.8
test_color,502888,1695036,3.3706033947916834,794,0.6
test_small,974331,3068044,3.148872405784071,1126,0.4
test_pixel,7649,16266,2.126552490521637,62,0.6
test_tiny,245004,1208689,4.933343945404973,295,0.9
test_detail_low,345237,460949,1.3351668563914065,571,0.2
